D,O,H,L,C,ST,T
1/9/24,54115.2,54297.6,53891.65,53960.65,248184674,10069.22
1/10/24,53997.65,54131.95,53490.05,54077.65,269700864,9904.68
1/11/24,54355.25,54675.55,54318.9,54595.6,293715289,10361.13
1/12/24,54847.6,54852.9,54587.1,54742.9,310809186,9538.3
1/15/24,55013.2,55025.6,54530.6,54936.65,284775438,9906.54
1/16/24,55013,55056.75,54515,54816.9,337642014,11899.48
1/17/24,54478.65,54813.1,54116.55,54206.25,410804424,12956.75
1/18/24,54052.55,54150.95,52766.3,53948.4,381326021,12272.06
1/19/24,54297.25,54741.8,54250.95,54709,353182530,11077.58
1/20/24,54970.9,55038.55,54459.35,54727.2,214455320,8033.04
1/23/24,55218.25,55227.7,53009.75,53294.7,454942238,16358.85
1/24/24,53419.05,54272.05,52872.95,54208.3,372127973,14656.33
1/25/24,54493.2,54493.2,53779.5,54291.75,399587259,11922.63
1/29/24,54564.2,55081.2,54369.4,55012.6,452499959,15603.28
1/30/24,55249.25,55507.15,54763.75,54826.2,395006294,14424.18
1/31/24,54916.1,55346.55,54800.1,55299.25,467463967,16220.87
2/1/24,55673.85,55858.3,55168.6,55508.85,481077234,17037.36
2/2/24,55852.8,56218.25,55818.6,55940.3,539082558,14851.6
2/5/24,56330.55,56535.35,55463.5,55669.85,468212848,16326.8
2/6/24,55935.45,56530.4,55504.05,56465.45,353196112,12379.81
2/7/24,56931.25,57489.55,56600.4,57386.6,462818667,18682.01
2/8/24,57754.2,57927.7,57388.45,57660.7,570211470,21414.82
2/9/24,57811.55,57834.6,56263.4,57432.9,662074725,21020.37
2/12/24,57559.7,57698.7,56104,56323.7,479740264,15670
2/13/24,56425.1,56939.95,55701.9,56893.05,357623575,12984.41
2/14/24,56477.15,57806.7,56274.7,57672.4,318293216,12205.91
2/15/24,58073.5,58241.2,57931.6,58185.9,543793423,17544.37
2/16/24,58460.85,58694.9,58393.6,58586.15,0,0
2/19/24,58838.3,58897.75,58548.4,58650.3,280672307,10478.86
2/20/24,58702.4,58767.2,58428.25,58706.4,270107778,9774.57
2/21/24,58913.6,59104.8,58204.25,58386.5,327274812,14125.42
2/22/24,58638.45,59080.4,58006.9,58999,281176688,11872.7
2/23/24,59172.95,59331.45,58811.95,59153.75,338988229,13482.97
2/26/24,59146.85,59375.05,58998.25,59198.55,267887029,12377.16
2/27/24,59246.05,59633.6,58885.05,59150.65,248642923,12627.18
2/28/24,59296,59370,58218.1,58387.3,330065213,13881.23
2/29/24,58390.8,59256.3,57803.7,58991.35,790715310,22952.3
3/1/24,59315.4,59578.2,59213.7,59506.75,263824935,10281.83
